table,project,link,sponsors
39,Wegmans Voice Lookup,https://ubhacking2018.devpost.com/submissions/105488-wegmans-voice-lookup,"Facebook - Best Hack that aligns with Facebook’s mission, Best Freshman Hack, M&T Bank - Best Hack for a Voice-Enabled Digital Assistant, Best use of Google Cloud Platform, Wegmans - Best Use of the Wegmans API"
40,Pupil Detection Scanner,https://ubhacking2018.devpost.com/submissions/105489-pupil-detection-scanner,
41,QBox,https://ubhacking2018.devpost.com/submissions/105490-qbox,Lead-a-Newbie Prize
42,TriviaTrash,https://ubhacking2018.devpost.com/submissions/105491-triviatrash,Twilio - Best Use of Twilio API
43,WegmansEats,https://ubhacking2018.devpost.com/submissions/105493-wegmanseats,"M&T Bank - Best Hack for a Voice-Enabled Digital Assistant, Wegmans - Best Use of the Wegmans API"
44,EpiPen,https://ubhacking2018.devpost.com/submissions/105494-epipen,
45,WaterQ,https://ubhacking2018.devpost.com/submissions/105421-waterq,"ValueCentric - Best Health/Lifestyle Hack, Best use of Google Cloud Platform"
46,a-MAZE-ing,https://ubhacking2018.devpost.com/submissions/105496-a-maze-ing,Lead-a-Newbie Prize
47,Diet Guide,https://ubhacking2018.devpost.com/submissions/105497-diet-guide,"ValueCentric - Best Health/Lifestyle Hack, Fidelis Care - Best Hack in Healthcare, Lead-a-Newbie Prize, Wegmans - Best Use of the Wegmans API"
48,BRAWLER,https://ubhacking2018.devpost.com/submissions/105498-brawler,"ValueCentric - Best Health/Lifestyle Hack, Facebook - Best Hack that aligns with Facebook’s mission"
49,DTDY: Do That Dish Yourself,https://ubhacking2018.devpost.com/submissions/105499-dtdy-do-that-dish-yourself,"[Weekly Challenge] Best use of Clarifai’s API, Best use of Google Cloud Platform, Lead-a-Newbie Prize, Wegmans - Best Use of the Wegmans API"
50,Afterworld Unity Game,https://ubhacking2018.devpost.com/submissions/105500-afterworld-unity-game,
51,B.R.A.D - Breast-cancer Risk Analysis & Diagnostics,https://ubhacking2018.devpost.com/submissions/105501-b-r-a-d-breast-cancer-risk-analysis-diagnostics,Fidelis Care - Best Hack in Healthcare
52,Digital Assistant,https://ubhacking2018.devpost.com/submissions/105502-digital-assistant,M&T Bank - Best Hack for a Voice-Enabled Digital Assistant
53,The Vector Deflector,https://ubhacking2018.devpost.com/submissions/105503-the-vector-deflector,
54,Wegman's API Restaurant Game,https://ubhacking2018.devpost.com/submissions/105504-wegman-s-api-restaurant-game,"Best Freshman Hack, Wegmans - Best Use of the Wegmans API"
55,Weather GPS,https://ubhacking2018.devpost.com/submissions/105506-weather-gps,"M&T Bank - Best Hack for a Voice-Enabled Digital Assistant, ACV Auctions - Best Mobile VR App, Best use of Google Cloud Platform, Wegmans - Best Use of the Wegmans API"
56,gesture-controlled-text-call,https://ubhacking2018.devpost.com/submissions/105507-gesture-controlled-text-call,
57,FunkyChess,https://ubhacking2018.devpost.com/submissions/105508-funkychess,
58,What's In My Pantry,https://ubhacking2018.devpost.com/submissions/105509-what-s-in-my-pantry,"Lead-a-Newbie Prize, Wegmans - Best Use of the Wegmans API"
59,Grocery List Builder,https://ubhacking2018.devpost.com/submissions/105510-grocery-list-builder,
60,Samrt Bin,https://ubhacking2018.devpost.com/submissions/105511-samrt-bin,
61,Project-Fabric-Color-Scheme,https://ubhacking2018.devpost.com/submissions/105512-project-fabric-color-scheme,
